--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Canada,Mobile,2223,1381,62.12,,0.87,2.45,3.38
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Australia,6594,2497,37.87,57.13,0.68,1.12,2.79
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",352,103,29.26,48.58,0,1.17,0.12
"8 Nov, 2021",478,185,38.70,74.48,8.76,0.43,0.08
"7 Nov, 2021",685,173,25.26,43.36,1.19,0.69,0.12
"6 Nov, 2021",273,88,32.23,48.35,12.62,0.57,0.05
"5 Nov, 2021",78,42,53.85,89.74,0,1.90,0.08
"30 Nov, 2021",142,102,71.83,80.99,4.05,1.57,0.16
"29 Nov, 2021",117,86,73.50,84.62,9.12,2.33,0.2
"28 Nov, 2021",90,66,73.33,77.78,5.25,3.03,0.2
"27 Nov, 2021",165,117,70.91,95.15,0,1.28,0.15
"26 Nov, 2021",120,84,70.00,83.33,9.26,3.45,0.29
"25 Nov, 2021",144,98,68.06,77.08,0,1.02,0.1
"24 Nov, 2021",232,117,50.43,58.19,0,0.68,0.08
"23 Nov, 2021",227,144,63.44,72.69,0,1.11,0.16
"22 Nov, 2021",169,111,65.68,72.19,3.23,1.35,0.15
"21 Nov, 2021",67,49,73.13,80.60,0,0.82,0.04
"20 Nov, 2021",47,36,76.60,82.98,0,1.11,0.04
"19 Nov, 2021",69,53,76.81,84.06,0,1.51,0.08
"18 Nov, 2021",11,11,100.00,100.00,0,0.00,0
"17 Nov, 2021",199,65,32.66,58.79,8.39,1.38,0.09
"16 Nov, 2021",252,63,25.00,38.89,7.94,0.79,0.05
"15 Nov, 2021",200,66,33.00,48.00,0,0.76,0.05
"14 Nov, 2021",571,123,21.54,41.33,0,0.65,0.08
"13 Nov, 2021",226,105,46.46,67.70,0,1.05,0.11
"12 Nov, 2021",354,100,28.25,44.63,0,1.10,0.11
"11 Nov, 2021",738,158,21.41,42.55,1.33,0.51,0.08
"10 Nov, 2021",588,152,25.85,56.63,0,0.79,0.12
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Australia,Tablets,150,105,70.00,,0.00,0.19,0.02
Australia,Desktop,4926,1422,28.87,,0.14,0.42,0.60
Australia,Mobile,1518,970,63.90,,1.55,2.24,2.17
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Bangladesh,11911,4988,41.88,67.81,3.11,0.41,2.03
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",372,140,37.63,74.46,10.38,0.21,0.03
"8 Nov, 2021",340,117,34.41,70.59,5.39,0.17,0.02
"7 Nov, 2021",410,146,35.61,72.93,5.79,0.21,0.03
"6 Nov, 2021",454,172,37.89,74.67,3.65,0.17,0.03
"5 Nov, 2021",393,116,29.52,75.06,7.19,0.43,0.05
"30 Nov, 2021",285,209,73.33,89.82,20.06,0.38,0.08
"29 Nov, 2021",332,225,67.77,84.34,8.26,0.44,0.1
"28 Nov, 2021",315,199,63.17,78.10,4.72,0.35,0.07
